route,med_group,dose_form
oral,xanthines,Tablet for Oral Suspension
oral,xanthines,Oral Tablet
oral,xanthines,Pack
oral,Systemic glucocorticosteroids,Buccal Tablet
oral,Systemic glucocorticosteroids,Delayed Release Oral Tablet
oral,Systemic glucocorticosteroids,Disintegrating Oral Tablet
oral,Systemic glucocorticosteroids,Chewable Tablet
oral,Systemic glucocorticosteroids,Delayed Release Oral Capsule
oral,Systemic glucocorticosteroids,Extended Release Oral Tablet
oral,Systemic glucocorticosteroids,Extended Release Suspension
oral,Systemic glucocorticosteroids,Oral Capsule
oral,Systemic glucocorticosteroids,Oral Gel
oral,Systemic glucocorticosteroids,Oral Granules
oral,Systemic glucocorticosteroids,Oral Lozenge
oral,Systemic glucocorticosteroids,Oral Ointment
oral,Systemic glucocorticosteroids,Oral Paste
oral,Systemic glucocorticosteroids,Oral Powder
oral,Systemic glucocorticosteroids,Oral Solution
oral,Systemic glucocorticosteroids,Oral Suspension
oral,Systemic glucocorticosteroids,Effervescent Oral Tablet
oral,Systemic glucocorticosteroids,Extended Release Oral Capsule
oral,Systemic glucocorticosteroids,Powder for Oral Suspension
oral,Systemic glucocorticosteroids,Sublingual Tablet
oral,Systemic glucocorticosteroids,Tablet for Oral Suspension
oral,Systemic glucocorticosteroids,Oral Tablet
oral,Systemic glucocorticosteroids,Pack
oral,Systemic B2 agonist,Buccal Tablet
oral,Systemic B2 agonist,Delayed Release Oral Tablet
oral,Systemic B2 agonist,Disintegrating Oral Tablet
oral,Systemic B2 agonist,Chewable Tablet
oral,Systemic B2 agonist,Delayed Release Oral Capsule
oral,Systemic B2 agonist,Extended Release Oral Tablet
oral,Systemic B2 agonist,Extended Release Suspension
oral,Systemic B2 agonist,Oral Capsule
oral,Systemic B2 agonist,Oral Gel
oral,Systemic B2 agonist,Oral Granules
oral,Systemic B2 agonist,Oral Lozenge
oral,Systemic B2 agonist,Oral Ointment
oral,Systemic B2 agonist,Oral Paste
oral,Systemic B2 agonist,Oral Powder
oral,Systemic B2 agonist,Oral Solution
oral,Systemic B2 agonist,Oral Suspension
oral,Systemic B2 agonist,Effervescent Oral Tablet
oral,Systemic B2 agonist,Extended Release Oral Capsule
oral,Systemic B2 agonist,Powder for Oral Suspension
oral,Systemic B2 agonist,Sublingual Tablet
oral,Systemic B2 agonist,Tablet for Oral Suspension
oral,Systemic B2 agonist,Oral Tablet
oral,Systemic B2 agonist,Pack
oral,LTRA,Buccal Tablet
oral,LTRA,Delayed Release Oral Tablet
oral,LTRA,Disintegrating Oral Tablet
oral,LTRA,Chewable Tablet
oral,LTRA,Delayed Release Oral Capsule
oral,LTRA,Extended Release Oral Tablet
oral,LTRA,Extended Release Suspension
oral,LTRA,Oral Capsule
oral,LTRA,Oral Gel
oral,LTRA,Oral Granules
oral,LTRA,Oral Lozenge
oral,LTRA,Oral Ointment
oral,LTRA,Oral Paste
oral,LTRA,Oral Powder
oral,LTRA,Oral Solution
oral,LTRA,Oral Suspension
oral,LTRA,Effervescent Oral Tablet
oral,LTRA,Extended Release Oral Capsule
oral,LTRA,Powder for Oral Suspension
oral,LTRA,Sublingual Tablet
oral,LTRA,Tablet for Oral Suspension
oral,LTRA,Oral Tablet
oral,LTRA,Pack
,SAMA,
,SABA,
,LAMA,
,LABA,
,ICS,
,Systemic glucocorticosteroids,
,Anti IL5,
,Anti IgE,
,xanthines,
,LTRA,
